class	bremen.HDPE	bremen.wood	bremen.tw	brake.HDPE	brake.wood	brake.tw	bremerhaven.HDPE	bremerhaven.wood	bremerhaven.tw	helgolandS.HDPE	helgolandS.wood	helgolandS.tw	helgolandT.HDPE	helgolandT.wood	helgolandT.tw	bremen.water3	bremen.water02	helgolandS.water3	helgolandS.water02	brake.water3	brake.water02	bremerhaven.water3	bremerhaven.water02	helgolandT.water3	helgolandT.water02
028H05-P-BN-P5	0	0	0	0.016518005	0	0	0	0	0	0.024777007	0.008259002	0	0	0.016518005	0.024777007	0	0	0	0	0	0	0.004129501	0	0	0
ABY1	0.008259002	0	0	0	0	0	0	0	0	0.016518005	0.64420218	0.140403039	0	0.074331021	0	0	0.008259002	0	0	0.078460522	0.268417575	0.012388503	0.016518005	0.008259002	0
Acidimicrobiia	2.981499835	0.115626032	0.470763132	3.848695078	0.082590023	1.593987446	9.266600595	0.099108028	12.30591345	20.12718864	0.272547076	2.948463826	6.574165841	0.404691113	3.402708953	1.069540799	3.943673604	1.833498513	0.371655104	11.16617113	8.85777998	15.98529898	26.58985795	4.35662372	19.2723819
Acidobacteriia	5.104063429	3.774364057	1.032375289	3.055830856	1.172778328	0.132144037	0.313842088	0.140403039	0	0.033036009	0.173439049	0.016518005	0.008259002	0.090849025	0	0.033036009	0	0	0	0.268417575	0.045424513	0.028906508	0	0	0
Actinobacteria	1.734390486	0.140403039	0.371655104	0.982821275	0.057813016	0.115626032	1.453584407	0.099108028	1.230591345	0.008259002	0	0	0.082590023	0.008259002	0.272547076	6.673273869	36.48827222	0.173439049	0.066072019	14.68863561	28.08886686	0.879583746	2.089527585	1.189296333	0.206475058
Alphaproteobacteria	24.08325074	48.09217047	23.78592666	23.5546746	43.15328708	12.16551041	38.75949785	59.74562273	21.51470102	22.5140403	61.83515031	13.02444665	35.74496201	40.46085233	15.12223323	15.25850677	5.219689462	18.67360423	45.94482986	10.81929303	23.00958044	22.26627023	33.27139082	23.9263297	29.39378923
Alteromonas macleodii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.004129501
Aminicenantia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.016518005	0	0	0
Anaerolineae	4.814998348	0.867195243	0.173439049	6.293359762	0.602907169	0.090849025	7.837793195	0.140403039	0.132144037	4.955401388	0.594648167	0.437727123	1.288404361	0.231252065	0.239511067	0.156921044	0	0.64420218	0	2.089527585	0.07020152	1.032375289	0	0.289065081	0
Armatimonadia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012388503	0	0	0	0	0	0	0	0	0
AT-s3-28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0
Babeliae	0	0	0	0.008259002	0.024777007	0	0	0	0	0	0.008259002	0	0	0	0	0	0	0.008259002	0	0.028906508	0.161050545	0.004129501	0.03716551	0	0
Bacilli	0.016518005	0	0	0.057813016	0	0	0.024777007	0	0	0.008259002	0	0	0	0	0	0.061942517	0.028906508	0.041295012	0	0.21473406	0.17756855	0	0	0.045424513	0
bacterium enrichment culture clone Anammox_3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0.008259002	0	0	0	0
Bacteroidia	8.828873472	7.383548067	1.899570532	7.35877106	12.57846052	1.230591345	4.897588371	18.45887017	0.64420218	17.46778989	16.18764453	14.13115296	20.26759167	34.06838454	19.87941857	12.42979848	9.291377602	25.82590023	35.97621407	5.702841097	10.31136439	9.576313181	10.31549389	14.9859597	13.89164189
BD2-11 terrestrial group	0	0	0	0.024777007	0	0	0.024777007	0	0	0.206475058	0	0.008259002	0.024777007	0.008259002	0	0	0	0.008259002	0	0.293194582	0.020647506	0.458374628	0.033036009	0.061942517	0.008259002
BD7-11	0.024777007	0	0	0.033036009	0	0.008259002	0	0	0	0.041295012	0.016518005	0.090849025	0.016518005	0	0.008259002	0	0	0	0	0.016518005	0.024777007	0.020647506	0.132144037	0	0
Blastocatellia (Subgroup 4)	1.387512389	0.32210109	1.585728444	1.172778328	0.165180046	1.379253386	0.776346217	0.041295012	0.495540139	0.586389164	0	0.67723819	0.173439049	0	0.10736703	0.140403039	0	0.008259002	0	0.057813016	0	0.020647506	0	0.053683515	0
Brocadiae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.008259002	0	0	0	0	0
Calditrichia	0	0	0	0	0	0	0	0	0	0.099108028	0	0.082590023	0	0	0.008259002	0	0	0	0	0.004129501	0	0.012388503	0	0.020647506	0
Campylobacteria	0	0	0	0	0	0	0	0	0	0.156921044	0.066072019	0.041295012	0.099108028	0.082590023	0.033036009	0.066072019	0.012388503	5.517013545	0.586389164	0	0.016518005	0.012388503	0.119755534	4.976048893	2.234060126
Chitinivibrionia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.074331021	0	0	0	0	0	0.024777007	0
