ASVs	hdpe	wood	tw	water3	water02
ASV_01	0.00	0.07	0.00	0.00	0.00
ASV_02	0.07	0.00	0.00	0.00	0.00
ASV_03	0.07	0.00	0.00	0.00	0.00
ASV_04	0.00	0.07	0.00	0.00	0.00
ASV_06	0.07	0.00	0.00	0.00	0.00
ASV_07	0.00	0.00	0.00	0.37	0.44
ASV_08	0.00	0.00	0.00	0.00	0.04
ASV_09	0.00	0.00	0.00	0.00	0.11
ASV_14	0.00	0.40	0.00	0.00	0.00
ASV_15	0.07	0.00	0.00	0.00	0.00
ASV_16	0.00	0.00	0.00	0.04	0.00
ASV_17	0.00	0.00	0.00	0.11	0.11
ASV_19	0.33	0.07	0.07	0.00	0.00
ASV_21	0.00	0.00	0.00	0.00	0.07
ASV_22	0.00	0.00	0.00	0.04	0.00
ASV_23	0.00	0.07	0.00	0.00	0.00
ASV_24	0.27	0.00	0.00	0.00	0.00
ASV_29	0.00	0.73	0.00	0.00	0.00
ASV_31	0.00	0.00	0.00	0.15	0.44
ASV_33	0.00	0.00	0.00	0.07	0.11
ASV_37	0.00	0.00	0.00	0.04	0.00
ASV_39	0.07	0.00	0.00	0.00	0.00
ASV_41	0.00	0.80	0.53	0.00	0.00
ASV_42	0.20	0.00	0.07	0.00	0.00
ASV_43	0.00	0.00	0.00	0.07	0.00
ASV_46	0.00	0.07	0.00	0.00	0.00
ASV_51	0.00	0.00	0.00	0.04	0.00
ASV_53	0.07	0.00	0.00	0.00	0.00
ASV_55	0.00	0.00	0.00	0.07	0.00
ASV_56	0.00	0.00	0.00	0.00	0.04
ASV_57	0.13	0.00	0.00	0.00	0.00
ASV_59	0.00	0.00	0.00	0.04	0.00
ASV_60	0.00	0.00	0.00	0.07	0.04
ASV_61	0.00	0.07	0.00	0.00	0.00
ASV_63	0.13	0.00	0.00	0.30	0.41
ASV_64	0.00	0.00	0.00	0.04	0.00
ASV_68	0.00	0.00	0.07	0.00	0.00
ASV_69	0.00	0.00	0.00	0.11	0.15
ASV_71	0.07	0.00	0.00	0.00	0.00
ASV_73	0.00	0.00	0.00	0.00	0.04
ASV_74	0.00	0.07	0.00	0.00	0.00
ASV_75	0.07	0.00	0.00	0.00	0.00
ASV_77	0.07	0.00	0.00	0.00	0.00
ASV_80	0.00	0.00	0.00	0.04	0.00
ASV_81	0.07	0.00	0.00	0.00	0.00
ASV_83	0.13	0.07	0.13	0.00	0.00
ASV_84	0.00	0.00	0.00	0.04	0.00
ASV_85	0.00	0.00	0.00	0.04	0.00
ASV_87	0.00	0.00	0.00	0.04	0.00
ASV_88	0.00	0.20	0.20	0.00	0.00
ASV_90	0.00	0.00	0.00	0.04	0.00
ASV_91	0.00	0.00	0.00	0.07	0.00
ASV_92	0.00	0.00	0.00	0.04	0.22
ASV_93	0.00	0.00	0.00	0.04	0.00
ASV_94	0.00	0.07	0.00	0.00	0.00
ASV_96	0.27	0.00	0.00	0.00	0.00
ASV_100	0.00	0.00	0.00	0.07	0.00
ASV_101	0.07	0.00	0.00	0.04	0.00
ASV_104	0.00	0.00	0.00	0.07	0.15
ASV_105	0.00	0.20	0.00	0.00	0.00
ASV_107	0.07	0.00	0.00	0.00	0.00
ASV_111	0.13	0.00	0.00	0.15	0.00
ASV_112	0.07	0.00	0.00	0.00	0.00
ASV_113	0.00	0.00	0.00	0.04	0.00
ASV_115	0.00	0.27	0.07	0.33	0.00
ASV_116	0.00	0.00	0.00	0.07	0.00
ASV_117	0.27	0.00	0.00	0.00	0.00
ASV_118	0.00	0.13	0.00	0.00	0.00
ASV_119	0.07	0.00	0.00	0.00	0.00
ASV_120	0.00	0.00	0.00	0.04	0.00
ASV_121	0.00	0.13	0.00	0.00	0.00
ASV_124	0.00	0.00	0.00	0.04	0.00
ASV_126	0.00	0.00	0.00	0.07	0.07
ASV_127	0.00	0.00	0.00	0.04	0.00
ASV_128	0.07	0.00	0.00	0.00	0.00
ASV_130	0.07	0.00	0.00	0.00	0.00
ASV_131	0.00	0.00	0.00	0.07	0.15
ASV_133	0.07	0.00	0.00	0.00	0.00
ASV_134	0.00	0.07	0.00	0.07	0.00
ASV_136	0.67	0.40	0.40	0.15	0.00
ASV_137	0.00	0.13	0.00	0.00	0.00
ASV_140	0.00	0.00	0.00	0.04	0.00
ASV_141	0.07	0.00	0.13	0.00	0.00
ASV_142	0.07	0.00	0.00	0.00	0.00
ASV_144	0.00	0.07	0.00	0.00	0.00
ASV_146	0.00	0.33	0.00	0.00	0.00
ASV_147	0.13	0.00	0.00	0.00	0.00
ASV_148	0.00	0.07	0.00	0.00	0.00
ASV_150	0.00	0.00	0.00	0.00	0.07
ASV_152	0.00	0.00	0.00	0.11	0.04
ASV_157	0.20	0.20	0.20	0.04	0.00
ASV_159	0.00	0.00	0.00	0.00	0.11
ASV_161	0.00	0.13	0.00	0.00	0.00
ASV_162	0.00	0.00	0.00	0.04	0.00
ASV_163	0.07	0.00	0.00	0.00	0.00
ASV_164	0.00	0.07	0.00	0.00	0.00
ASV_165	0.00	0.07	0.00	0.00	0.00
ASV_167	0.00	0.00	0.00	0.19	0.22
ASV_168	0.00	0.07	0.00	0.00	0.00
ASV_169	0.00	0.00	0.00	0.00	0.19
ASV_170	0.13	0.00	0.07	0.00	0.00
ASV_171	0.00	0.00	0.00	0.04	0.00
ASV_174	0.00	0.27	0.00	0.00	0.00
ASV_175	0.00	0.00	0.00	0.04	0.00
ASV_176	0.00	0.00	0.00	0.04	0.00
ASV_178	0.00	0.00	0.00	0.04	0.00
ASV_179	0.07	0.00	0.00	0.04	0.00
ASV_180	0.20	0.00	0.13	0.00	0.00
ASV_181	0.00	0.00	0.00	0.04	0.00
ASV_183	0.13	0.13	0.13	0.00	0.00
ASV_188	0.00	0.00	0.00	0.04	0.00
ASV_189	0.00	0.00	0.00	0.04	0.04
ASV_192	0.00	0.00	0.00	0.00	0.04
ASV_194	0.00	0.00	0.00	0.07	0.11
ASV_195	0.13	0.00	0.00	0.00	0.00
ASV_197	0.00	0.00	0.00	0.04	0.00
ASV_198	0.00	0.00	0.00	0.00	0.04
ASV_200	0.13	0.07	0.07	0.00	0.00
ASV_201	0.13	0.00	0.27	0.00	0.00
ASV_202	0.07	0.00	0.00	0.00	0.00
ASV_206	0.07	0.07	0.00	0.00	0.00
ASV_207	0.07	0.00	0.00	0.00	0.00
ASV_209	0.07	0.00	0.00	0.00	0.00
ASV_210	0.07	0.07	0.00	0.00	0.00
ASV_211	0.40	0.00	0.33	0.00	0.00
ASV_213	0.20	0.07	0.07	0.00	0.00
ASV_215	0.00	0.13	0.00	0.00	0.00
ASV_216	0.00	0.00	0.00	0.11	0.00
ASV_218	0.00	0.07	0.00	0.00	0.00
ASV_219	0.00	0.00	0.00	0.07	0.00
ASV_220	0.00	0.00	0.00	0.04	0.00
ASV_221	0.00	0.73	0.00	0.00	0.00
ASV_222	0.00	0.00	0.00	0.04	0.04
ASV_225	0.00	0.00	0.00	0.04	0.00
ASV_226	0.00	0.00	0.00	0.00	0.04
ASV_227	0.00	0.07	0.00	0.00	0.00
ASV_228	0.00	0.00	0.00	0.00	0.04
ASV_229	0.00	0.00	0.00	0.04	0.00
ASV_230	0.07	0.00	0.00	0.00	0.00
ASV_233	0.00	0.00	0.00	0.30	0.48
