ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_02	0.0	0.0	0.0	1.3	0.0
ASV_03	0.0	0.0	0.0	0.7	0.0
ASV_06	0.0	0.0	0.0	0.3	0.0
ASV_15	0.0	0.0	0.7	0.0	0.0
ASV_19	0.0	0.0	0.0	1.3	1.0
ASV_24	1.3	2.0	0.0	0.0	0.0
ASV_39	1.0	0.0	0.0	0.0	0.0
ASV_42	0.0	0.0	0.0	0.0	1.0
ASV_53	0.3	0.0	0.0	0.0	0.0
ASV_57	0.0	0.0	0.0	0.3	0.3
ASV_63	0.7	0.0	0.0	0.0	0.0
ASV_71	0.0	0.0	0.0	0.0	0.3
ASV_75	0.0	0.0	0.0	0.3	0.0
ASV_77	0.0	0.3	0.0	0.0	0.0
ASV_81	0.3	0.0	0.0	0.0	0.0
ASV_83	0.3	0.7	0.0	0.0	0.0
ASV_96	0.3	1.0	0.0	0.0	0.0
ASV_101	0.0	0.3	0.0	0.0	0.0
ASV_107	0.0	0.0	0.0	0.3	0.0
ASV_111	1.0	1.3	0.0	0.0	0.0
ASV_112	0.0	0.0	0.0	0.3	0.0
ASV_117	1.7	1.0	0.0	0.0	0.0
ASV_119	0.0	0.0	0.0	0.3	0.0
ASV_128	0.0	0.0	0.3	0.0	0.0
ASV_130	0.3	0.0	0.0	0.0	0.0
ASV_133	0.0	0.0	0.0	1.0	0.0
ASV_136	8.3	8.7	3.7	0.3	0.0
ASV_141	0.7	0.0	0.0	0.0	0.0
ASV_142	0.0	0.3	0.0	0.0	0.0
ASV_147	0.7	0.0	0.3	0.0	0.0
ASV_157	0.0	0.0	0.0	1.0	0.0
ASV_163	0.0	0.3	0.0	0.0	0.0
ASV_170	0.0	0.0	0.0	0.7	0.0
ASV_179	0.3	0.0	0.0	0.0	0.0
ASV_180	3.3	0.0	1.3	0.0	0.0
ASV_183	1.0	0.3	0.0	0.0	0.0
ASV_195	0.0	0.7	0.3	0.0	0.0
ASV_200	0.0	0.0	0.0	0.0	0.7
ASV_201	0.0	0.0	0.0	1.3	0.3
ASV_202	0.0	0.3	0.0	0.0	0.0
ASV_206	0.3	0.0	0.0	0.0	0.0
ASV_207	0.3	0.0	0.0	0.0	0.0
ASV_209	0.0	0.3	0.0	0.0	0.0
ASV_210	0.0	1.0	0.0	0.0	0.0
ASV_211	0.0	0.0	0.0	1.7	1.0
ASV_213	0.0	0.0	0.0	0.0	1.0
ASV_230	0.0	0.0	1.0	0.0	0.0
ASV_245	3.3	2.3	1.3	0.0	0.0
ASV_248	0.0	0.3	0.3	0.0	0.0
ASV_262	0.0	0.0	0.0	1.3	0.0
ASV_269	0.0	0.3	0.0	0.0	0.0
ASV_272	0.0	0.0	0.0	2.3	0.0
ASV_274	0.0	0.0	0.0	0.3	0.0
ASV_275	3.0	0.0	0.0	0.0	0.0
ASV_280	0.0	0.0	0.7	0.0	0.0
ASV_283	0.0	0.0	0.0	0.0	0.3
ASV_284	5.7	8.3	13.3	0.3	0.0
ASV_291	0.0	0.0	0.0	0.0	0.3
ASV_295	0.0	0.0	0.3	0.0	0.0
ASV_299	0.0	0.0	0.0	0.3	0.0
ASV_303	1.0	0.0	0.0	0.0	0.0
ASV_308	0.0	0.7	0.0	0.0	0.0
ASV_311	0.7	0.7	0.3	0.0	0.0
ASV_314	0.0	0.0	0.0	10.3	1.0
ASV_317	0.0	0.7	0.0	0.0	0.0
ASV_320	0.0	0.3	0.0	0.0	0.0
ASV_322	10.0	9.7	7.7	0.0	0.0
ASV_326	0.0	0.0	0.0	0.0	0.7
ASV_341	0.0	0.3	0.0	0.0	0.0
ASV_343	0.0	0.0	0.0	1.3	0.0
ASV_346	0.0	0.0	0.0	0.3	0.3
ASV_350	0.0	0.0	0.0	0.3	0.0
ASV_356	0.0	0.0	0.0	3.0	1.0
ASV_362	1.3	0.0	0.0	0.0	0.0
ASV_363	0.0	0.0	0.0	0.0	0.3
ASV_367	0.0	0.7	1.3	0.0	0.0
ASV_370	0.0	0.0	0.0	0.0	0.3
ASV_373	0.0	0.0	0.0	0.3	0.3
ASV_379	0.0	0.0	0.0	0.3	0.0
ASV_389	0.0	0.7	0.0	0.0	0.0
ASV_399	0.0	2.0	0.0	0.0	0.0
ASV_409	0.0	1.3	2.3	0.0	0.0
ASV_418	7.0	14.0	11.0	0.7	0.0
ASV_420	0.0	0.0	0.0	0.0	0.3
ASV_429	0.0	0.0	0.0	1.0	0.0
ASV_436	0.3	0.0	0.0	0.0	0.0
ASV_444	0.0	0.0	0.0	6.0	0.0
ASV_447	0.0	0.0	1.3	0.0	0.0
ASV_448	0.0	0.0	0.0	0.0	0.3
ASV_455	0.0	0.0	0.0	0.3	0.0
ASV_456	0.0	0.0	0.0	0.0	0.3
ASV_457	0.0	0.7	2.3	0.0	0.0
ASV_460	0.0	1.0	0.3	0.0	0.0
ASV_464	0.0	0.0	0.0	0.0	1.0
ASV_471	0.0	0.0	0.0	2.0	1.0
ASV_473	0.7	0.0	0.0	0.0	0.0
ASV_476	0.3	0.0	0.0	0.0	0.0
ASV_479	0.0	0.0	0.0	2.7	1.0
ASV_488	0.0	0.3	0.0	0.0	0.0
ASV_490	0.0	0.0	0.0	0.3	0.0
ASV_495	0.0	0.3	0.0	0.0	0.0
ASV_497	0.7	0.7	0.0	0.0	0.0
ASV_500	0.0	0.0	0.0	0.7	0.3
