ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_19	0.0	0.0	0.0	0.0	0.7
ASV_41	7.0	3.3	2.7	0.0	0.0
ASV_42	0.0	0.0	0.0	0.0	0.3
ASV_68	0.0	0.0	0.0	0.0	0.3
ASV_83	1.0	0.0	0.0	0.0	0.0
ASV_88	1.3	0.3	0.0	0.0	0.0
ASV_115	0.0	0.0	0.3	0.0	0.0
ASV_136	1.7	2.3	0.7	0.0	0.0
ASV_141	0.3	0.7	0.0	0.0	0.0
ASV_157	0.0	0.0	0.0	2.3	0.0
ASV_170	0.0	0.0	0.0	0.3	0.0
ASV_180	0.3	0.3	0.0	0.0	0.0
ASV_183	1.0	0.0	0.0	0.0	0.0
ASV_200	0.0	0.0	0.0	1.7	0.0
ASV_201	0.0	0.0	0.0	0.3	6.7
ASV_211	0.0	0.0	0.0	1.7	2.0
ASV_213	0.0	0.0	0.0	0.0	0.7
ASV_241	1.0	0.7	0.0	0.0	0.0
ASV_251	0.0	0.0	0.0	0.0	5.3
ASV_257	0.0	0.0	0.0	0.0	0.7
ASV_278	0.0	0.0	13.7	0.0	0.0
ASV_284	1.3	0.3	0.0	0.0	0.0
ASV_311	1.3	0.7	0.0	0.0	0.0
ASV_314	0.0	0.0	0.0	5.7	0.7
ASV_322	2.0	0.7	0.7	0.0	0.0
ASV_329	0.0	1.0	0.0	0.0	0.0
ASV_339	0.0	0.0	0.0	0.7	0.0
ASV_343	0.0	0.0	0.0	0.0	3.7
ASV_358	0.0	0.0	0.0	0.0	2.0
ASV_362	0.3	0.0	0.3	0.0	0.0
ASV_367	0.7	0.0	0.7	0.0	0.0
ASV_368	0.0	0.0	0.0	0.0	1.3
ASV_371	0.0	0.0	0.0	0.3	0.0
ASV_373	0.0	0.0	0.0	0.3	0.0
ASV_380	0.0	0.0	0.0	0.0	3.0
ASV_382	1.7	0.0	0.0	0.0	0.0
ASV_406	0.0	0.0	0.3	0.0	0.0
ASV_412	0.0	0.0	0.0	1.0	0.0
ASV_416	0.0	0.0	0.3	1.0	0.0
ASV_418	0.0	1.0	0.3	0.0	0.0
ASV_444	0.0	0.0	0.0	2.7	1.3
ASV_455	0.0	0.0	0.0	0.7	1.0
ASV_457	0.0	0.7	1.3	0.7	0.0
ASV_464	0.0	0.0	0.0	0.0	1.3
ASV_479	0.0	0.0	0.0	0.0	1.3
ASV_481	0.0	0.0	0.3	0.0	0.0
