ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_07	86.50	60.33	0.00	0.00	0.00
ASV_08	0.00	0.17	0.00	0.00	0.00
ASV_09	1.00	0.00	0.00	0.00	0.00
ASV_17	0.00	0.00	0.00	5.33	0.00
ASV_21	0.00	0.33	0.00	0.00	0.00
ASV_31	12.50	21.00	0.00	0.00	0.00
ASV_33	0.00	0.83	0.00	0.00	0.00
ASV_56	0.00	0.00	0.17	0.00	0.00
ASV_60	0.33	0.00	0.00	0.00	0.00
ASV_63	288.67	9.17	0.00	0.00	0.00
ASV_69	0.00	0.00	0.00	2.33	0.00
ASV_73	0.00	0.00	0.00	0.00	1.00
ASV_92	15.50	0.00	0.00	0.00	0.00
ASV_104	0.00	0.17	0.33	1.67	0.00
ASV_126	0.00	0.00	0.00	1.67	0.00
ASV_131	0.00	0.00	0.17	0.00	3.00
ASV_150	0.00	0.67	0.00	0.00	0.00
ASV_152	0.00	0.00	0.00	0.17	0.00
ASV_159	0.50	1.17	0.00	0.00	0.00
ASV_167	14.50	0.00	0.00	0.00	0.00
ASV_169	1.50	0.17	4.83	0.00	0.00
ASV_189	0.00	0.00	1.67	0.00	0.00
ASV_192	0.00	0.00	0.00	0.17	0.00
ASV_194	0.00	0.00	1.33	0.00	0.00
ASV_198	0.00	0.33	0.00	0.00	0.00
ASV_222	0.00	0.00	0.00	0.17	0.00
ASV_226	0.33	0.33	0.00	0.00	0.00
ASV_228	0.00	0.00	0.17	0.00	0.00
ASV_233	39.67	32.50	0.33	0.00	0.00
ASV_235	0.17	0.00	0.00	0.00	0.00
ASV_236	0.33	0.17	0.33	0.00	0.00
ASV_258	0.00	0.00	0.00	26.00	2.00
ASV_264	0.00	0.50	0.00	0.00	0.00
ASV_271	1.17	4.00	0.00	0.00	0.00
ASV_277	0.00	0.00	0.17	0.00	0.00
ASV_281	0.00	0.00	0.00	0.00	1.00
ASV_288	0.00	0.00	0.00	1.17	0.00
ASV_296	0.00	0.00	0.17	0.00	0.00
ASV_304	0.17	0.00	0.00	0.00	0.00
ASV_312	0.00	0.00	0.00	0.00	0.00
ASV_315	0.83	0.00	0.00	0.00	0.00
ASV_324	0.00	0.00	0.17	0.00	0.00
ASV_342	0.00	0.00	0.00	0.00	0.00
ASV_345	1.33	2.17	0.00	0.00	0.00
ASV_354	2.33	0.83	0.00	0.00	0.00
ASV_359	110.00	0.50	880.50	738.83	3.00
ASV_376	0.33	0.67	0.00	0.00	0.00
ASV_394	0.33	0.00	0.00	0.00	0.00
ASV_396	0.00	0.00	0.00	0.00	3.00
ASV_404	0.17	0.00	0.00	0.00	0.00
ASV_405	0.00	0.00	0.00	0.00	0.00
ASV_419	0.00	0.00	0.17	0.00	0.00
ASV_421	0.00	0.00	0.00	0.33	0.00
ASV_423	11.33	16.67	0.00	0.00	0.00
ASV_424	0.00	0.00	0.00	0.00	0.00
ASV_441	0.00	0.17	0.00	0.00	0.00
ASV_443	0.00	0.00	0.00	5.50	0.00
ASV_445	0.00	2.50	0.00	0.00	0.00
ASV_446	0.00	0.00	0.00	0.00	1.00
ASV_450	5.67	0.50	23.50	0.00	0.00
ASV_454	0.00	0.00	0.33	0.00	0.00
ASV_460	0.00	0.17	0.00	0.00	0.00
ASV_463	0.17	0.33	0.00	0.00	0.00
ASV_487	0.00	0.00	0.17	0.00	0.00
ASV_498	0.00	0.00	0.33	0.00	0.00
ASV_506	0.83	0.17	4.33	0.00	0.00
ASV_510	0.00	0.00	0.17	0.00	0.00
ASV_522	0.00	0.00	0.00	6.17	0.00
ASV_530	0.00	0.00	1.00	0.00	0.00
ASV_535	0.00	0.00	0.17	0.00	0.00
ASV_544	0.00	0.00	0.00	0.00	1.00
ASV_554	0.00	0.00	0.00	0.00	1.00
ASV_561	0.17	0.17	0.00	0.00	0.00
ASV_565	0.17	0.33	0.50	0.00	0.00
ASV_566	0.17	0.67	0.00	0.00	0.00
ASV_594	32.67	53.50	6.83	0.00	0.00
ASV_596	0.00	0.00	0.17	0.00	0.00
ASV_602	0.00	0.00	0.00	0.33	0.00
ASV_613	0.00	0.00	0.00	0.50	0.00
ASV_632	0.00	0.00	0.83	0.00	0.00
ASV_650	0.00	0.00	0.00	0.00	0.00
ASV_655	0.67	0.00	0.00	0.00	0.00
ASV_662	0.00	0.00	0.00	3.83	0.00
ASV_679	0.00	0.17	0.00	0.00	0.00
ASV_683	0.50	0.00	2.33	0.00	0.00
ASV_688	0.00	0.83	0.00	0.00	0.00
ASV_693	0.00	0.00	0.00	0.17	0.00
ASV_701	0.00	0.00	0.17	0.00	0.00
ASV_705	5.83	0.00	40.67	20.83	3.00
ASV_713	0.00	0.00	2.83	0.00	0.00
ASV_715	1.00	2.67	0.00	0.00	0.00
ASV_718	1.00	1.17	0.00	0.00	0.00
ASV_736	0.00	0.00	0.50	0.00	0.00
ASV_743	0.33	0.00	0.00	0.00	0.00
ASV_744	0.17	0.00	0.00	0.00	0.00
ASV_749	0.17	0.00	0.00	0.00	0.00
ASV_764	0.00	0.33	0.00	0.00	0.00
ASV_768	0.00	0.00	0.00	0.00	0.00
ASV_774	0.00	0.00	0.00	0.17	0.00
ASV_776	0.00	0.00	0.00	0.00	0.00
ASV_781	0.17	0.00	0.83	0.00	0.00
ASV_792	1.50	0.00	0.00	0.00	0.00
ASV_793	0.00	1.50	0.00	0.00	0.00
ASV_794	0.00	0.00	0.00	0.17	3.00
ASV_819	0.00	0.00	0.00	0.00	0.00
ASV_820	0.00	0.00	0.83	1.67	0.00
ASV_826	0.00	0.00	0.00	0.00	0.00
ASV_830	8.50	16.00	8.67	0.00	0.00
ASV_835	0.00	0.00	0.00	0.00	0.00
ASV_838	0.00	0.00	0.33	0.00	0.00
ASV_840	0.00	0.00	0.00	0.00	0.00
ASV_847	0.00	0.00	0.33	2.50	0.00
ASV_849	0.00	0.00	0.00	0.17	0.00
ASV_868	0.33	0.33	0.00	0.00	0.00
ASV_873	0.00	0.00	0.00	0.17	0.00
ASV_874	0.00	1.00	0.00	0.00	0.00
ASV_877	0.00	0.00	0.00	0.00	1.00
ASV_879	0.00	0.17	0.50	0.00	0.00
ASV_883	0.00	0.17	0.00	0.00	0.00
ASV_888	0.33	0.33	0.00	0.00	0.00
ASV_891	0.50	0.00	0.50	0.00	0.00
ASV_895	0.00	0.00	0.50	0.00	0.00
ASV_913	0.00	0.00	0.00	0.83	1.00
ASV_919	0.00	0.00	0.00	0.00	0.00
ASV_929	0.00	0.00	0.00	0.00	0.00
ASV_937	0.00	0.50	0.00	0.00	0.00
ASV_943	0.00	0.00	0.00	4.83	0.00
ASV_955	0.00	0.00	0.00	0.00	0.00
ASV_958	0.17	0.00	0.00	0.00	0.00
ASV_964	9.50	0.00	0.00	0.00	0.00
ASV_983	0.00	0.00	0.00	0.00	1.00
ASV_985	0.00	0.00	0.00	0.00	1.00
ASV_987	0.33	2.17	0.33	0.00	0.00
ASV_988	0.00	0.00	0.00	2.33	0.00
ASV_989	0.00	0.00	1.00	0.00	0.00
ASV_990	0.00	0.00	0.00	0.33	1.00
ASV_1008	0.33	0.00	0.00	0.00	0.00
ASV_1009	0.33	0.00	0.67	0.00	0.00
ASV_1013	7.33	0.33	40.83	3.00	3.00
ASV_1022	0.00	0.00	0.17	0.00	0.00
ASV_1027	0.50	0.83	0.17	0.00	0.00
ASV_1032	0.17	0.50	0.00	0.00	0.00
ASV_1036	0.67	2.17	0.00	0.00	0.00
ASV_1040	0.00	0.00	0.00	0.17	0.00
ASV_1047	0.00	0.00	0.00	0.00	0.00
ASV_1056	0.00	0.33	0.00	0.00	0.00
ASV_1061	0.00	0.17	0.00	0.00	0.00
ASV_1064	0.00	0.17	0.00	0.00	0.00
ASV_1071	0.00	0.00	0.33	0.00	0.00
ASV_1086	0.17	0.17	0.00	0.00	0.00
ASV_1087	0.00	0.00	0.00	0.00	0.00
ASV_1090	0.00	0.33	0.00	0.00	0.00
ASV_1093	0.67	1.00	0.00	0.00	0.00
ASV_1104	0.00	0.00	0.00	8.67	0.00
ASV_1120	0.00	0.00	7.17	17.50	0.00
ASV_1122	0.33	0.33	0.00	0.00	0.00
ASV_1124	0.00	0.00	0.00	0.00	0.00
ASV_1133	0.00	0.00	0.17	0.00	0.00
ASV_1150	0.00	0.00	0.00	0.17	0.00
ASV_1180	0.00	0.00	0.00	3.00	2.00
ASV_1182	0.17	0.00	0.00	0.00	0.00
ASV_1185	134.67	7.50	0.00	0.00	0.00
ASV_1194	0.00	0.00	0.67	2.33	0.00
ASV_1209	0.00	0.00	0.00	0.00	0.00
ASV_1219	0.00	0.17	0.00	0.00	0.00
ASV_1230	3.00	14.50	0.00	0.00	0.00
ASV_1236	1.00	17.67	0.33	0.00	0.00
ASV_1237	0.00	0.00	0.00	0.00	3.00
ASV_1240	0.00	0.00	0.17	0.00	0.00
ASV_1245	0.00	0.33	0.00	0.00	0.00
ASV_1253	0.00	0.00	0.00	0.33	0.00
ASV_1255	0.00	0.00	0.00	0.00	0.00
ASV_1256	0.00	0.00	0.00	0.00	0.00
ASV_1258	0.00	0.17	0.00	0.00	0.00
ASV_1264	0.00	6.50	0.00	0.00	0.00
ASV_1267	0.00	0.00	0.67	0.00	0.00
ASV_1272	0.00	0.00	0.00	0.00	3.00
ASV_1278	2.50	0.00	0.00	0.00	0.00
ASV_1286	0.00	0.33	0.00	0.00	0.00
ASV_1304	0.00	0.00	0.00	0.33	0.00
ASV_1305	0.00	0.00	0.17	0.00	0.00
ASV_1314	11.17	6.00	38.33	0.00	0.00
ASV_1315	0.00	0.00	0.00	0.00	0.00
ASV_1323	0.00	0.00	0.17	0.00	0.00
ASV_1350	0.00	0.00	0.00	0.17	0.00
ASV_1357	0.33	0.00	0.00	0.00	0.00
ASV_1363	1.00	1.83	0.00	0.00	0.00
ASV_1367	0.50	0.00	0.00	0.00	0.00
ASV_1372	0.00	0.00	0.00	6.17	0.00
ASV_1377	0.00	0.00	0.00	1.17	0.00
ASV_1387	1.33	0.00	6.17	0.00	0.00
ASV_1394	0.33	0.50	0.00	0.00	0.00
ASV_1400	0.00	0.00	0.00	0.00	3.00
ASV_1403	0.00	0.00	0.33	0.83	2.00
ASV_1408	1.83	5.33	0.00	0.00	0.00
ASV_1411	0.67	0.00	0.00	0.00	0.00
ASV_1412	0.00	0.00	0.00	0.17	0.00
ASV_1413	0.00	0.00	16.67	1.67	0.00
ASV_1419	0.00	0.33	0.00	0.00	0.00
ASV_1424	0.83	0.00	1.33	0.00	0.00
ASV_1433	0.17	0.17	0.00	0.00	0.00
ASV_1449	0.00	0.00	0.00	0.00	3.00
ASV_1455	0.00	0.17	0.00	0.00	0.00
ASV_1475	0.00	0.00	0.00	5.50	3.00
ASV_1484	2.00	0.00	0.00	0.00	0.00
ASV_1491	2.17	3.50	0.33	0.00	0.00
ASV_1506	0.33	0.33	0.00	0.00	0.00
ASV_1510	0.33	0.33	0.00	0.00	0.00
ASV_1511	2.83	3.17	0.00	0.00	0.00
ASV_1522	0.00	0.00	0.33	0.00	0.00
ASV_1543	0.00	0.33	0.00	0.00	0.00
ASV_1549	0.00	0.00	0.00	0.67	0.00
ASV_1550	0.00	0.00	0.33	0.00	0.00
ASV_1566	2.67	3.67	0.00	0.00	0.00
ASV_1570	0.00	0.00	0.50	0.83	0.00
ASV_1572	0.00	0.33	0.00	0.00	0.00
ASV_1576	0.00	0.00	0.00	0.00	0.00
ASV_1591	0.17	0.00	0.17	0.00	0.00
ASV_1592	0.17	0.00	0.00	0.00	0.00
ASV_1601	0.00	0.17	0.00	0.00	0.00
ASV_1614	0.00	0.17	0.00	0.00	0.00
ASV_1615	0.00	0.17	0.00	0.00	0.00
ASV_1616	0.00	0.00	0.00	1.33	0.00
ASV_1618	0.00	0.17	0.00	0.00	0.00
ASV_1626	0.33	0.50	0.00	0.00	0.00
ASV_1631	0.00	0.00	0.67	0.00	0.00
ASV_1632	0.00	0.50	0.00	0.00	0.00
ASV_1658	0.00	0.00	0.00	0.33	0.00
ASV_1660	2.17	14.50	0.00	0.00	0.00
ASV_1661	0.00	1.33	0.00	0.00	0.00
ASV_1662	0.00	0.00	0.00	0.50	0.00
ASV_1665	0.00	0.00	0.00	0.00	1.00
ASV_1674	0.17	0.00	0.17	0.00	0.00
ASV_1678	4.33	0.00	0.00	0.00	0.00
ASV_1688	0.00	0.00	0.00	0.33	0.00
ASV_1692	0.33	2.33	0.67	0.00	0.00
ASV_1698	0.00	0.00	0.17	0.00	0.00
ASV_1699	0.00	0.17	0.00	0.00	0.00
ASV_1702	0.00	0.00	0.00	0.00	1.00
ASV_1717	0.00	0.00	0.17	0.00	0.00
ASV_1720	0.00	0.00	0.00	0.00	0.00
ASV_1737	2.33	3.33	6.17	2.17	0.00
ASV_1761	0.00	0.00	1.33	0.00	0.00
ASV_1762	0.00	0.00	0.17	0.00	0.00
ASV_1781	0.00	0.00	0.00	0.00	1.00
ASV_1785	0.00	1.00	0.00	0.00	0.00
ASV_1790	8.67	12.83	5.83	0.00	0.00
ASV_1793	0.00	0.00	0.00	0.00	2.00
ASV_1802	0.33	0.83	0.00	0.00	0.00
ASV_1806	0.17	0.17	0.00	0.00	0.00
ASV_1807	0.00	0.00	0.00	0.00	1.00
ASV_1818	0.00	1.33	0.00	0.00	0.00
ASV_1829	0.00	0.00	0.00	0.00	0.00
ASV_1831	0.00	0.00	0.00	0.00	1.00
ASV_1837	2.83	0.00	0.17	0.00	0.00
ASV_1847	0.00	0.00	2.17	0.00	0.00
ASV_1854	0.67	0.17	1.33	0.00	0.00
ASV_1857	0.00	0.17	0.00	0.00	0.00
ASV_1871	0.17	0.17	0.00	0.00	0.00
ASV_1878	0.17	0.00	0.00	0.00	0.00
ASV_1893	0.00	0.00	0.00	1.00	0.00
ASV_1898	0.00	0.17	0.00	0.00	0.00
ASV_1911	0.33	0.33	0.00	0.00	0.00
ASV_1914	0.00	0.00	0.17	0.00	0.00
ASV_1926	0.00	0.00	0.00	1.50	0.00
ASV_1928	0.00	0.00	0.00	8.50	1.00
