ASVs	bremen	brake	bremerhaven	helgolandT	helgolandS
ASV_01	0.3	0.0	0.0	0.0	0.0
ASV_04	0.0	0.0	0.0	0.3	0.0
ASV_14	0.0	0.0	7.3	87.3	0.0
ASV_19	0.0	0.0	0.0	0.0	1.0
ASV_23	0.0	0.0	0.0	0.3	0.0
ASV_29	44.3	188.0	41.7	5.7	0.0
ASV_41	21.3	28.0	19.7	11.3	0.0
ASV_46	0.0	0.0	0.0	0.0	0.3
ASV_61	0.0	0.7	0.0	0.0	0.0
ASV_74	0.0	0.0	0.0	1.0	0.0
ASV_83	0.0	0.3	0.0	0.0	0.0
ASV_88	4.3	0.0	0.0	0.0	0.0
ASV_94	0.0	0.0	0.7	0.0	0.0
ASV_105	0.0	4.0	0.0	0.0	0.0
ASV_115	0.0	0.0	2.7	2.3	0.0
ASV_118	4.0	0.0	0.0	0.0	0.0
ASV_121	0.0	0.0	0.0	0.0	1.0
ASV_134	0.0	0.0	0.0	0.3	0.0
ASV_136	0.7	1.0	1.0	0.0	0.0
ASV_137	0.0	0.0	0.0	0.0	3.0
ASV_144	0.0	0.0	0.3	0.0	0.0
ASV_146	0.0	0.0	0.0	7.7	3.7
ASV_148	0.0	0.0	0.0	0.3	0.0
ASV_157	0.0	0.0	0.0	1.0	0.0
ASV_161	0.0	0.0	0.0	0.7	0.0
ASV_164	0.0	0.0	0.3	0.0	0.0
ASV_165	0.0	0.0	0.0	0.3	0.0
ASV_168	0.0	0.0	0.7	0.0	0.0
ASV_174	6.7	1.7	0.0	0.0	0.0
ASV_183	1.0	0.0	0.0	0.0	0.0
ASV_200	0.0	0.0	0.0	0.7	0.0
ASV_206	0.0	0.0	0.3	0.0	0.0
ASV_210	0.0	0.7	0.0	0.0	0.0
ASV_213	0.0	0.0	0.0	0.0	0.3
ASV_215	0.0	0.0	0.0	4.3	0.0
ASV_218	0.0	0.0	1.7	0.0	0.0
ASV_221	3.7	3.3	9.7	5.7	0.0
ASV_227	0.0	1.0	0.0	0.0	0.0
ASV_238	0.0	0.0	2.0	1.7	0.0
ASV_250	3.0	1.7	21.7	22.3	0.0
ASV_252	0.0	0.0	0.0	0.3	0.0
ASV_257	0.0	0.0	0.0	0.7	0.0
ASV_260	0.0	0.0	0.0	0.0	4.0
ASV_277	19.7	14.3	97.0	40.7	0.0
ASV_278	0.0	0.0	0.7	0.0	0.0
ASV_301	0.0	0.0	0.0	0.0	0.7
ASV_322	1.0	0.0	0.0	0.0	0.0
ASV_327	0.0	0.0	0.0	4.3	1.3
ASV_337	0.0	0.0	0.3	0.0	0.0
ASV_343	0.0	0.0	0.0	0.0	6.7
ASV_344	1.0	0.7	0.0	0.0	0.0
ASV_346	0.0	0.0	0.0	0.7	0.7
ASV_355	0.0	0.0	0.0	1.7	0.0
ASV_361	0.0	0.0	0.0	0.0	0.3
ASV_368	0.0	0.0	0.0	0.0	0.3
ASV_369	0.0	0.0	1.0	0.3	0.0
ASV_372	0.0	0.0	0.3	0.0	0.0
ASV_380	0.0	0.0	0.0	0.0	2.3
ASV_381	0.0	0.0	0.0	0.3	0.0
ASV_386	0.0	0.0	0.0	0.0	3.3
ASV_388	0.0	0.0	0.7	0.0	0.0
ASV_395	0.0	0.0	0.3	0.0	0.0
ASV_398	0.0	0.0	0.7	0.3	0.0
ASV_400	0.0	0.0	0.0	0.7	0.0
ASV_414	1.0	0.0	0.0	0.0	0.0
ASV_416	0.0	0.0	0.3	0.0	0.0
ASV_430	0.3	0.0	0.0	0.0	0.0
ASV_433	0.0	0.0	3.0	7.0	0.0
ASV_435	0.0	0.0	0.0	0.0	0.7
ASV_438	0.0	0.0	0.0	3.3	3.7
ASV_444	0.0	0.0	0.0	0.3	0.0
ASV_462	0.0	0.0	0.0	28.0	6.7
